Date,Close/Last,Volume,Open,High,Low
09/30/2019,$11.5321,3376975,$11.4073,$11.5419,$11.3313
09/27/2019,$11.4619,7520200,$11.4736,$11.5828,$11.4385
09/26/2019,$11.5867,4153370,$11.6843,$11.7174,$11.5516
09/25/2019,$11.8149,7681050,$11.7798,$11.8461,$11.6765
09/24/2019,$11.4892,4962705,$11.6375,$11.657,$11.4522
09/23/2019,$11.5302,2180825,$11.5029,$11.5594,$11.4814
09/20/2019,$11.5302,3156160,$11.5672,$11.6199,$11.459
09/19/2019,$11.575,3297045,$11.5828,$11.6589,$11.5536
09/18/2019,$11.5282,4110170,$11.5302,$11.577,$11.4249
09/17/2019,$11.6901,9279920,$11.7311,$11.7311,$11.5575
09/16/2019,$11.696,2004170,$11.6862,$11.7506,$11.6394
09/13/2019,$11.772,3306380,$11.7213,$11.8052,$11.7194
09/12/2019,$11.7506,3116040,$11.7291,$11.7876,$11.7018
09/11/2019,$11.7116,3655105,$11.6258,$11.7311,$11.5965
09/10/2019,$11.5536,3799655,$11.5302,$11.5828,$11.4912
09/09/2019,$11.6979,5722295,$11.7993,$11.8247,$11.6394
09/06/2019,$11.5458,3398435,$11.5731,$11.5891,$11.5068
09/05/2019,$11.6121,6508125,$11.614,$11.7096,$11.6004
09/04/2019,$11.4112,4671115,$11.3176,$11.4268,$11.2961
09/03/2019,$11.2006,4300320,$11.1596,$11.2669,$11.1167
08/30/2019,$11.0992,1785180,$11.1382,$11.1499,$11.0329
08/29/2019,$11.0621,4588545,$10.9861,$11.2337,$10.9861
08/28/2019,$10.8456,2511380,$10.7696,$10.8651,$10.7534
08/27/2019,$10.8261,3631805,$10.8651,$10.9178,$10.7871
08/26/2019,$10.8281,5915185,$10.83,$10.9197,$10.8144
08/23/2019,$10.5004,6566205,$10.6877,$10.7384,$10.4653
08/22/2019,$10.6818,7917930,$10.7598,$10.8008,$10.6077
08/21/2019,$11.0485,5263870,$10.9861,$11.1294,$10.9607
08/20/2019,$10.8554,1890270,$10.9217,$10.9256,$10.8417
08/19/2019,$10.8671,4674245,$10.8671,$10.9178,$10.8456
08/16/2019,$10.869,6273440,$10.6955,$10.9147,$10.6955
08/15/2019,$10.7306,4364190,$10.6682,$10.7686,$10.6447
08/14/2019,$10.594,6363540,$10.7715,$10.7774,$10.558
08/13/2019,$10.9724,5725280,$10.8632,$11.0465,$10.8261
08/12/2019,$10.8437,2523850,$10.9217,$10.9308,$10.8086
08/09/2019,$10.9431,2131095,$11.0153,$11.0368,$10.8651
08/08/2019,$10.9704,7499365,$10.8066,$10.988,$10.7852
08/07/2019,$10.83,11949555,$10.8203,$10.8905,$10.713
08/06/2019,$10.7267,5973975,$10.6838,$10.7267,$10.596
08/05/2019,$10.4634,9366490,$10.4985,$10.4985,$10.398
08/02/2019,$10.7228,6330335,$10.7852,$10.8144,$10.6613
